iter	Passed	Remaining
0	238	238007
1	329	164491
2	425	141559
3	513	127854
4	601	119722
5	699	115954
6	788	111890
7	880	109131
8	965	106364
9	1057	104705
10	1147	103154
11	1237	101848
12	1328	100834
13	1417	99811
14	1507	98987
15	1599	98387
16	1688	97642
17	1782	97241
18	1874	96779
19	1969	96492
20	2063	96190
21	2155	95815
22	2247	95473
23	2338	95101
24	2430	94790
25	2519	94367
26	2608	93994
27	2695	93566
28	2783	93189
29	2875	92967
30	2964	92657
31	3055	92422
32	3145	92159
33	3235	91930
34	3328	91759
35	3420	91601
36	3517	91538
37	3606	91311
38	3698	91132
39	3790	90975
40	3882	90801
41	3971	90588
42	4062	90415
43	4151	90206
44	4239	89961
45	4328	89761
46	4419	89602
47	4509	89429
48	4602	89323
49	4688	89088
50	4776	88887
51	4866	88722
52	4952	88496
53	5044	88372
54	5135	88233
55	5223	88046
56	5313	87907
57	5402	87750
58	5491	87591
59	5576	87364
60	5661	87142
61	5749	86986
62	5836	86811
63	5924	86650
64	6016	86548
65	6106	86418
66	6194	86254
67	6287	86169
68	6373	85990
69	6461	85848
70	6551	85719
71	6638	85565
72	6726	85420
73	6812	85246
74	6898	85086
75	6984	84922
76	7079	84861
77	7169	84743
78	7270	84755
79	7361	84654
80	7452	84557
81	7547	84497
82	7636	84367
83	7725	84240
84	7811	84084
85	7900	83970
86	7989	83841
87	8080	83744
88	8170	83628
89	8257	83493
90	8345	83367
91	8431	83219
92	8517	83068
93	8604	82935
94	8694	82828
95	8784	82717
96	8871	82591
97	8959	82462
98	9049	82359
99	9142	82286
100	9230	82160
101	9321	82064
102	9411	81960
103	9548	82263
104	9634	82125
105	9722	81997
106	9809	81867
107	9899	81759
108	9986	81632
109	10074	81508
110	10161	81384
111	10252	81286
112	10341	81179
113	10427	81045
114	10519	80958
115	10609	80852
116	10696	80722
117	10784	80611
118	10872	80493
119	10959	80372
120	11052	80291
121	11139	80167
122	11229	80066
123	11321	79977
124	11407	79853
125	11496	79744
126	11585	79641
127	11673	79526
128	11759	79398
129	11844	79265
130	11932	79153
131	12023	79060
132	12118	78997
133	12212	78925
134	12305	78846
135	12391	78724
136	12484	78641
137	12571	78525
138	12657	78405
139	12745	78291
140	12834	78189
141	12923	78089
142	13010	77971
143	13096	77853
144	13185	77747
145	13279	77675
146	13367	77565
147	13458	77476
148	13546	77367
149	13633	77257
150	13725	77171
151	13812	77057
152	13899	76949
153	13988	76844
154	14075	76732
155	14161	76614
156	14249	76511
157	14341	76428
158	14428	76318
159	14514	76200
160	14606	76118
161	14696	76020
162	14785	75924
163	14873	75820
164	14965	75736
165	15063	75682
166	15152	75578
167	15238	75469
168	15371	75585
169	15458	75475
170	15555	75413
171	15646	75321
172	15734	75216
173	15822	75112
