iter	Passed	Remaining
0	158	158785
1	170	85076
2	190	63243
3	205	51098
4	217	43240
5	228	37793
6	239	33955
7	250	31098
8	259	28628
9	271	26887
10	281	25338
11	290	23942
12	301	22922
13	311	21929
14	319	21010
15	329	20268
16	337	19527
17	347	18935
18	355	18334
19	364	17884
20	373	17435
21	382	17006
22	392	16693
23	401	16338
24	410	16004
25	419	15720
26	428	15442
27	437	15173
28	445	14931
29	455	14728
30	465	14547
31	475	14391
32	485	14227
33	495	14066
34	504	13905
35	512	13734
36	521	13581
37	529	13414
38	539	13300
39	547	13149
40	558	13053
41	566	12925
42	574	12793
43	584	12695
44	592	12571
45	601	12480
46	609	12362
47	618	12269
48	627	12171
49	636	12084
50	644	11993
51	653	11912
52	661	11817
53	669	11734
54	678	11655
55	686	11577
56	694	11494
57	703	11426
58	712	11367
59	720	11287
60	728	11217
61	736	11135
62	744	11071
63	751	10983
64	758	10912
65	765	10834
66	772	10755
67	780	10702
68	788	10640
69	797	10589
70	805	10545
71	814	10493
72	822	10446
73	830	10392
74	838	10346
75	846	10286
76	854	10237
77	861	10183
78	868	10127
79	876	10080
80	883	10026
81	892	9988
82	899	9932
83	907	9897
84	914	9847
85	922	9804
86	929	9755
87	937	9718
88	944	9669
89	952	9634
90	959	9587
91	968	9560
92	975	9509
93	983	9479
94	990	9436
95	999	9409
96	1006	9365
97	1013	9327
98	1020	9289
99	1028	9254
100	1035	9213
101	1042	9176
102	1050	9146
103	1056	9105
104	1065	9082
105	1073	9050
106	1081	9024
107	1088	8990
108	1096	8961
109	1103	8925
110	1111	8900
111	1118	8870
112	1126	8845
113	1134	8814
114	1142	8789
115	1149	8757
116	1156	8729
117	1164	8704
118	1173	8686
119	1180	8656
120	1188	8635
121	1197	8619
122	1205	8598
123	1213	8570
124	1221	8552
125	1228	8521
126	1237	8503
127	1244	8475
128	1252	8459
129	1259	8430
130	1267	8410
131	1274	8383
132	1283	8366
133	1290	8343
134	1298	8322
135	1306	8296
136	1313	8275
137	1320	8251
138	1328	8230
139	1335	8206
140	1342	8181
141	1350	8162
142	1358	8138
143	1365	8120
144	1373	8099
145	1381	8082
146	1388	8058
147	1396	8041
148	1403	8018
149	1412	8006
150	1419	7982
151	1428	7968
152	1435	7949
153	1444	7934
154	1450	7910
155	1459	7898
156	1466	7873
157	1474	7857
